id,country,city,zone,address,latitude,longitude,initialOwner
103,italy,milano,porta romana,via maffei 8,45.4857041,8.9639948,
104,italy,milano,porta romana,via fogazzaro 9,45.5743249,8.803394,
105,italy,milano,porta romana,via fogazzaro 9,45.5743249,8.803394,
106,italy,milano,porta romana,via fogazzaro 9,45.5743249,8.803394,
107,italy,milano,porta romana,via fogazzaro 9,45.5743249,8.803394,
108,italy,milano,porta romana,via fogazzaro 9,45.5743249,8.803394,
109,italy,milano,porta romana,via fogazzaro 9,45.5743249,8.803394,
110,italy,milano,porta romana,via fogazzaro 9,45.5743249,8.803394,
111,italy,milano,porta romana,via maffei 8,45.4857041,8.9639948,
112,italy,milano,porta romana,via spartaco 10,45.4583337,9.2111915,
113,italy,milano,porta romana,via spartaco 38,45.4583337,9.2111915,
114,italy,milano,centro storico,piazza santa maria beltrade 2,45.46286305,9.18672269179769,
115,italy,milano,stazione centrale,via filzi 41,45.5471766,9.3474215,
116,italy,milano,san siro,via privata linda malnati 1,45.4702497,9.1328257,
117,italy,milano,porta romana,via spartaco 38,45.4583337,9.2111915,
118,italy,milano,repubblica,via franchetti 4,45.47974,9.2000883,
119,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
120,italy,milano,porta romana,via fogazzaro 9,45.5743249,8.803394,
121,italy,milano,tricolore,piazza tricolore 4,45.5778585,8.8171705,
122,italy,milano,niguarda,via ornato 44,45.5167719,9.1909829,
123,italy,milano,porta romana,via maffei 6,45.4857041,8.9639948,
124,italy,milano,porta romana,via maffei 10,45.4857041,8.9639948,
124,italy,milano,s. siro,via mariotto albertinelli 12,45.4744327,9.1398901,
125,italy,milano,bocconi,viale beatrice d'este 30,45.4520294,9.1911302,
126,italy,milano,porta romana,via maffei  6,45.4857041,8.9639948,
126,italy,milano,bonola,via francesco cilea 22,45.5266507,8.8958547,
127,italy,milano,porta romana,via spartaco 8,45.4583337,9.2111915,
127,italy,milano,vercelli,via giotto 28,45.486023,9.2889911,
128,italy,milano,city life,piazza 6 febbraio 24,45.4778876,9.1606877,
129,italy,milano,bocconi,viale beatrice d'este 30,45.4520294,9.1911302,
130,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
131,italy,milano,garibaldi,via alserio 1,45.4914399,9.1840375,
138,italy,milano,porta romana,via andrea maffei 10,45.4571537,9.2075708,
139,italy,milano,porta romana,via maffei 8,45.4857041,8.9639948,
140,italy,milano,porta romana,via spartaco 38,45.4583337,9.2111915,
141,italy,milano,città studi,via alessandro milesi 4,45.4718374,9.2376133,
142,italy,milano,xxii marzo,via goffredo mameli 31,45.5726853,9.0224697,
143,italy,milano,xxii marzo,via goffredo mameli 31,45.5726853,9.0224697,
144,italy,milano,repubblica,via napo torriani 22,45.5307298,9.3318607,
145,italy,milano,centro storico,via marco d'oggiono 4,45.4560621,9.1771787,
150,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
169,italy,milano,repubblica,viale tunisia 32,45.4780348,9.2038823,
173,italy,milano,ticinese,corso di porta ticinese 69,45.4539137,9.1804294,
174,italy,milano,de angeli,via piero martinetti 15,45.4667312,9.1315297,
176,italy,milano,de angeli,via delle forze armate 15,45.4601514,9.0974368,
177,italy,milano,loreto,via bambaia 2,45.486871,9.2192966,
182,italy,castello d'agogna,,via isimbardi 13,45.2325881,8.6899501,
183,italy,milano,maciachini,via carlo imbonati 6,45.5290783,9.1172712,
185,italy,milano,de angeli,via marghera 34,45.4672365,9.1533669,
186,italy,milano,de angeli,via marghera 34,45.4672365,9.1533669,
188,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
189,italy,milano,de angeli,via filippo abbiati 2,45.4712249,9.1388153,
190,italy,milano,xxii marzo,viale umbria 72,45.5285656,9.2725781,
191,italy,milano,xxii marzo,viale premuda 2,45.4654134,9.2074061,
193,italy,milano,lotto,viale renato serra 14,45.4878962,9.1480079,
195,italy,milano,loreto,via giulio e corrado venini 59,45.4951178,9.2172538,
197,italy,milano,solari,viale coni zugna 52,45.4594344,9.1659157,
198,italy,milano,garibaldi,via carlo farini 6,45.5431661,9.0659258,
199,italy,milano,fiera,via filippo carcano 15,45.4740061,9.147048,
200,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
